fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,approved
6.5,0.46,0.47,2.9,0.084,19.8,1.0002,3.35,0.8,11.1,1
9.2,0.45,0.01,1.9,0.062,22.7,0.9958,3.42,0.61,8.1,0
8.5,0.83,0.67,1.4,0.146,1.0,0.9961,3.04,0.76,12.7,0
6.9,0.42,0.73,4.0,0.05,1.0,0.9987,3.37,0.63,11.6,0
8.0,0.83,0.43,2.2,0.035,16.0,0.9968,3.53,0.59,10.3,0
5.1,0.54,0.09,1.2,0.15,20.8,0.9979,3.54,0.67,10.6,0
5.7,0.44,0.52,7.2,0.113,11.0,0.9942,3.55,0.42,10.9,1
9.8,0.58,0.29,2.2,0.101,18.1,0.9976,3.44,0.48,10.5,1
7.9,0.87,0.06,4.4,0.035,16.0,0.9937,3.51,0.58,11.3,0
10.6,0.56,0.68,2.5,0.137,36.9,0.992,3.25,0.66,12.0,0
8.4,0.49,0.57,6.5,0.076,1.0,0.9959,3.3,0.87,8.3,0
8.7,0.63,0.64,1.1,0.093,11.0,0.9986,3.08,0.79,10.0,0
8.3,0.49,0.64,1.8,0.103,11.8,0.9975,3.24,0.62,10.8,1
6.6,0.33,0.29,3.0,0.152,1.0,0.9963,3.44,0.47,9.0,1
9.0,0.52,0.39,2.0,0.108,19.7,0.9925,3.39,0.66,12.7,1
7.2,0.69,0.19,4.4,0.055,10.0,0.9935,2.93,0.74,8.0,0
8.8,0.61,0.6,3.9,0.087,6.5,0.9961,3.33,0.58,9.6,0
6.9,0.3,0.42,1.1,0.119,2.8,0.996,3.24,0.61,11.1,0
9.6,0.67,0.52,3.3,0.167,16.9,0.9966,3.27,0.86,12.9,0
9.0,0.62,0.29,5.5,0.068,21.0,1.0003,3.53,0.69,10.7,0
10.4,0.55,0.54,1.9,0.064,14.0,0.997,3.15,0.66,11.1,1
9.5,0.72,0.54,1.4,0.123,25.5,0.9994,3.17,0.65,9.8,0
8.2,0.7,0.62,4.4,0.045,19.8,0.9953,3.57,0.88,12.6,1
10.9,0.69,0.12,6.8,0.057,34.9,0.9922,3.28,0.34,12.3,1
9.0,0.21,0.5,3.7,0.088,4.4,0.9988,3.46,0.73,11.3,1
4.4,0.65,0.7,5.7,0.108,1.0,0.9994,3.34,0.34,8.0,0
7.3,0.48,0.08,17.5,0.135,22.2,0.9996,3.33,0.58,10.5,1
8.0,0.59,0.77,2.7,0.095,13.0,0.9948,3.18,0.37,9.7,0
10.5,0.36,0.17,7.8,0.091,1.8,0.9955,3.48,0.73,10.4,0
7.6,0.7,0.75,2.1,0.114,5.5,0.9956,3.43,0.3,9.9,0
7.1,0.72,0.69,4.4,0.015,23.7,0.9977,3.25,0.4,10.9,1
4.8,0.51,0.62,6.8,0.091,25.8,0.9948,3.31,0.65,9.7,1
10.5,0.22,0.17,2.8,0.163,24.0,0.9974,3.4,0.66,10.1,1
10.7,0.63,0.17,3.5,0.124,16.9,0.9985,3.19,0.93,9.9,1
6.4,0.57,0.21,9.8,0.086,13.5,0.9981,3.06,0.94,10.8,0
5.9,0.18,0.65,1.7,0.122,14.0,0.9947,3.33,0.42,8.8,0
10.1,0.53,0.15,2.1,0.029,18.6,0.9986,3.2,0.56,8.5,1
10.5,0.68,0.46,4.7,0.107,17.7,0.9968,3.44,0.58,11.3,1
7.1,0.13,0.62,2.0,0.085,5.6,0.9955,3.27,0.83,9.9,1
7.9,0.54,0.37,2.7,0.092,26.6,0.9988,3.11,0.6,11.2,0
9.2,0.57,0.67,1.1,0.07,16.4,0.9968,3.34,0.33,11.3,0
6.6,0.57,0.45,3.1,0.153,1.0,0.9995,3.12,0.79,9.7,0
6.8,0.49,0.48,3.5,0.064,2.8,0.9988,3.38,0.57,9.8,1
7.7,0.56,0.54,1.2,0.037,11.5,0.9981,2.99,0.92,9.7,1
6.6,0.49,0.68,1.7,0.017,18.1,0.9966,3.31,0.73,8.9,1
13.3,0.48,0.0,2.4,0.01,16.0,0.9938,3.37,0.8,8.6,0
10.4,0.62,0.31,4.8,0.097,8.6,0.9937,3.13,0.78,10.2,0
7.8,0.99,0.77,1.1,0.05,28.9,1.0019,3.5,0.49,8.9,0
8.5,0.52,0.08,2.0,0.026,23.8,0.9978,3.08,0.3,10.2,0
5.6,0.41,0.19,1.0,0.075,15.5,0.9993,3.36,0.94,9.4,0
9.0,0.51,0.46,2.8,0.119,1.0,0.997,3.07,0.77,9.4,1
9.6,0.51,0.69,2.7,0.082,12.7,0.9965,3.15,0.48,10.1,1
7.2,0.41,0.08,4.5,0.093,11.9,0.9969,3.36,0.3,12.3,1
7.5,0.41,0.0,1.0,0.142,1.0,0.9972,3.38,0.9,12.1,1
6.8,0.38,0.55,4.6,0.126,21.4,0.9968,3.33,0.7,11.6,0
10.7,0.43,0.48,6.5,0.092,17.9,1.0,3.42,0.87,10.5,1
10.6,0.54,0.22,2.0,0.041,5.7,0.9984,3.12,0.73,8.4,0
9.0,0.51,0.77,2.0,0.061,18.5,0.9975,3.08,0.55,11.7,1
8.5,0.73,0.45,1.0,0.088,26.2,0.9984,3.41,0.55,9.6,0
6.2,0.16,0.53,2.4,0.121,21.3,0.9986,3.05,0.65,12.1,1
7.1,0.5,0.3,3.4,0.103,9.8,0.9974,3.13,0.65,9.6,0
7.8,0.43,0.74,1.3,0.058,41.1,0.9979,3.29,0.48,11.8,1
7.2,0.31,0.22,3.7,0.106,20.5,0.9982,3.35,0.64,11.2,1
9.3,0.38,0.6,2.1,0.167,9.3,0.9981,3.35,0.8,8.0,0
5.5,0.2,0.09,3.8,0.101,33.0,0.9967,3.11,0.66,11.4,1
6.1,0.5,0.43,1.7,0.116,1.0,0.9983,3.31,0.77,10.5,1
7.2,0.53,0.46,4.7,0.071,3.7,0.9946,3.15,0.71,8.9,1
5.6,0.28,0.15,3.0,0.078,10.7,0.997,3.36,0.86,9.9,0
10.0,0.52,0.26,2.9,0.01,26.1,0.9967,3.33,0.74,13.0,1
10.2,0.54,0.14,2.7,0.093,8.9,0.9982,3.44,0.5,8.2,1
5.4,0.36,0.68,5.6,0.01,14.6,0.9953,3.27,0.41,10.5,0
8.8,0.55,0.53,3.0,0.015,6.2,0.9956,3.24,0.97,9.7,0
7.6,0.54,0.36,1.4,0.103,23.3,0.995,3.57,0.5,11.1,0
8.3,0.5,0.44,3.5,0.041,20.9,0.998,3.03,0.62,11.6,1
9.2,0.67,0.28,2.8,0.01,1.0,0.9933,3.59,0.65,10.7,0
4.8,0.72,0.34,1.2,0.09,15.4,0.9949,3.28,0.55,11.5,1
10.1,0.73,0.5,3.2,0.015,18.5,0.9927,3.1,0.85,9.3,1
9.2,0.37,0.17,1.2,0.136,13.9,0.9953,3.22,0.67,10.3,0
10.1,0.5,0.11,4.2,0.109,15.2,0.9968,3.43,0.4,12.3,1
5.1,0.17,0.76,3.7,0.173,8.7,0.9991,3.43,0.71,9.7,0
8.2,0.65,0.19,2.7,0.105,24.6,0.9994,3.62,0.63,9.4,0
9.2,0.68,0.4,4.5,0.176,7.9,0.9939,3.33,0.75,9.8,0
9.0,0.73,0.61,1.8,0.042,25.8,0.9959,3.35,0.99,11.0,0
9.8,0.86,0.44,2.5,0.059,15.9,0.9975,3.44,0.53,10.4,0
9.1,0.72,0.51,1.0,0.101,10.7,0.9961,3.01,0.44,11.2,0
5.0,0.63,0.13,12.1,0.081,15.3,0.995,3.29,1.16,9.6,0
10.3,0.55,0.32,1.1,0.094,16.8,0.9932,3.34,0.46,8.7,0
7.5,1.0,0.55,1.3,0.086,12.3,0.9945,3.08,0.98,9.7,0
8.6,0.58,0.17,2.7,0.077,11.9,0.9993,3.29,1.01,8.8,0
10.9,0.96,0.39,2.2,0.043,5.4,0.999,3.21,0.6,10.6,0
8.3,0.41,0.47,2.9,0.053,31.0,1.0021,3.29,0.86,10.2,1
7.7,0.47,0.63,5.5,0.045,7.4,0.9985,3.56,0.48,10.5,0
6.3,0.67,0.17,1.4,0.041,3.1,0.9947,3.62,0.75,10.7,0
6.0,0.1,0.78,3.6,0.09,20.4,0.9976,3.29,0.82,9.8,1
6.2,0.49,0.77,1.0,0.053,1.0,0.9978,3.38,0.48,11.1,1
8.2,0.75,0.01,4.9,0.062,16.2,0.998,3.47,0.88,10.6,0
12.0,0.46,0.29,5.2,0.153,4.2,0.9964,3.37,0.82,9.8,0
7.8,0.53,0.05,2.2,0.109,20.5,0.9961,3.08,0.96,10.9,0
8.3,0.25,0.25,1.5,0.125,13.9,0.9977,3.31,0.7,10.8,0
9.5,0.46,0.49,5.2,0.14,6.6,0.995,3.22,0.3,12.9,1
7.1,0.38,0.49,7.0,0.164,14.1,0.9989,3.43,0.7,11.1,1
10.6,0.67,0.08,1.2,0.086,20.5,0.9945,3.22,0.64,11.6,0
7.5,0.68,0.54,3.2,0.1,11.2,0.9943,3.32,0.85,9.9,0
10.4,0.39,0.68,8.0,0.063,12.0,0.9959,3.35,0.45,9.4,0
9.3,0.36,0.5,3.6,0.048,25.6,0.9978,3.18,1.07,11.0,1
8.4,0.81,0.25,5.3,0.017,20.3,0.9987,3.14,0.7,9.6,0
7.3,0.29,0.0,1.7,0.039,10.9,0.9976,3.13,0.92,9.9,0
9.9,0.67,0.52,1.3,0.062,16.8,0.9955,3.56,0.37,8.8,0
8.1,0.54,0.54,2.2,0.096,12.5,0.9964,3.4,0.63,10.4,0
7.4,0.73,0.57,2.3,0.033,26.8,0.9958,3.31,0.98,10.1,0
11.0,0.57,0.03,4.9,0.041,1.0,0.9988,3.45,0.52,10.1,0
4.7,0.43,0.41,2.3,0.01,21.7,0.9971,3.5,0.44,11.3,0
10.9,0.32,0.33,1.7,0.055,21.0,0.9995,3.31,0.67,9.7,0
11.8,0.32,0.61,6.4,0.09,8.2,0.9982,3.37,0.83,10.5,1
6.8,0.3,0.58,4.8,0.089,6.4,0.9962,3.21,0.6,9.8,0
7.2,0.51,0.76,3.8,0.072,28.0,0.9964,3.57,0.64,8.9,1
6.4,0.68,0.72,1.6,0.075,13.7,0.9969,3.32,0.68,10.6,1
9.8,0.36,0.45,1.6,0.087,31.0,0.9966,3.48,0.61,10.9,1
7.2,0.34,0.78,2.7,0.146,5.2,0.9982,3.5,0.76,11.3,1
8.1,0.56,0.12,2.9,0.07,15.0,0.9975,3.33,0.43,10.9,0
9.4,0.78,0.01,1.7,0.08,9.9,0.9956,3.48,0.45,9.9,0
5.6,0.67,0.09,1.3,0.026,11.4,1.0008,3.12,0.72,12.5,0
5.7,0.51,0.28,2.1,0.109,19.5,0.9971,3.25,0.56,10.4,0
8.9,0.35,0.6,2.4,0.084,8.0,0.9948,3.44,0.84,10.5,0
7.6,0.54,0.31,1.1,0.062,14.1,0.9979,3.26,0.59,9.1,0
6.6,0.69,0.62,3.1,0.032,7.9,0.9946,3.49,0.75,9.7,0
8.3,0.64,0.59,1.0,0.103,22.3,0.9973,3.37,0.76,11.7,1
8.1,0.58,0.64,1.4,0.036,36.1,0.9966,3.63,0.58,10.9,1
6.8,0.73,0.15,1.4,0.112,29.5,0.9968,3.3,0.65,9.2,1
8.6,0.8,0.41,3.9,0.171,5.8,0.995,3.31,0.67,9.1,0
6.6,0.68,0.57,2.7,0.141,10.9,0.9965,3.35,0.49,11.0,0
9.5,0.17,0.23,5.5,0.088,15.4,0.9965,3.43,0.84,9.8,0
8.0,0.7,0.67,1.8,0.116,1.0,0.9967,3.12,0.58,12.1,1
11.4,0.5,0.62,1.6,0.054,15.3,1.0004,3.31,0.51,13.9,1
6.1,0.55,0.1,5.1,0.025,20.9,0.9956,3.34,0.68,10.6,0
7.3,0.48,0.17,2.5,0.093,15.7,0.9971,3.27,0.88,11.2,0
9.9,0.41,0.19,1.8,0.059,14.9,0.9941,3.34,0.65,11.1,1
6.5,0.1,0.7,2.4,0.023,9.0,0.9926,3.21,0.63,9.9,1
8.4,0.58,0.15,2.4,0.01,12.2,0.9961,3.07,0.69,9.5,0
4.9,0.3,0.5,3.1,0.073,10.9,0.9995,3.27,0.62,8.4,0
6.5,0.62,0.05,1.1,0.134,5.0,0.9942,3.04,0.52,11.3,0
6.7,0.46,0.44,1.7,0.08,25.6,0.9981,3.31,0.68,10.1,0
8.0,0.73,0.11,2.6,0.077,32.5,0.9991,3.12,0.62,9.3,0
10.0,0.84,0.46,3.0,0.085,9.5,0.9996,3.45,0.43,9.9,0
7.8,0.51,0.29,1.4,0.042,5.2,0.998,3.22,0.62,10.0,0
7.7,0.44,0.48,1.5,0.066,8.0,0.9951,3.5,0.61,9.2,1
6.9,0.4,0.32,4.3,0.146,5.6,0.9943,3.24,0.63,9.2,0
6.4,0.61,0.68,4.8,0.159,10.9,0.9929,3.41,0.46,10.6,0
10.0,0.43,0.61,1.2,0.136,18.7,1.0004,3.35,0.76,9.4,1
8.6,0.53,0.68,12.5,0.123,28.5,0.9984,3.44,0.85,9.4,0
7.7,0.36,0.18,2.4,0.16,1.0,0.998,3.32,0.65,9.8,0
11.0,0.54,0.12,3.2,0.036,25.8,0.9919,3.5,0.61,8.0,0
4.0,0.83,0.45,3.3,0.215,15.9,0.998,3.33,0.71,8.7,0
10.0,0.4,0.7,2.1,0.01,1.0,0.9971,3.4,0.7,9.3,0
5.6,0.53,0.09,3.0,0.072,2.7,0.9974,3.18,0.55,12.2,1
8.5,0.62,0.19,3.2,0.01,21.2,0.9959,3.44,0.77,11.4,1
9.9,0.77,0.6,4.6,0.122,6.9,0.997,3.59,0.55,10.4,0
5.3,0.74,0.37,3.7,0.032,11.8,0.9946,3.32,0.46,11.3,1
10.4,0.66,0.48,2.5,0.037,14.5,0.9969,3.19,0.62,11.4,0
8.1,0.6,0.47,1.5,0.151,28.3,0.9942,3.15,0.69,8.7,0
6.9,1.05,0.33,1.1,0.076,2.5,0.9987,3.1,0.62,8.8,0
8.7,0.66,0.56,3.6,0.117,22.7,0.9984,3.12,0.78,9.7,0
9.2,0.58,0.68,2.6,0.065,29.3,0.9982,3.2,0.65,10.2,0
12.3,0.75,0.73,9.4,0.042,5.6,0.9937,3.08,0.88,8.6,0
8.0,0.63,0.04,1.3,0.129,24.1,0.9969,3.36,0.81,11.0,1
9.7,0.99,0.44,1.2,0.095,10.4,0.9981,3.2,0.39,10.7,0
8.5,0.43,0.03,1.5,0.097,8.6,0.9982,3.42,0.58,11.5,0
8.9,0.52,0.72,2.2,0.059,12.4,1.0002,3.48,0.52,9.6,0
7.9,0.29,0.34,1.5,0.079,18.3,0.9948,3.37,0.75,9.3,1
7.0,0.51,0.72,2.6,0.059,8.1,0.9961,3.44,0.78,12.8,1
9.0,0.32,0.15,2.0,0.123,25.5,0.9976,3.22,0.77,9.6,0
6.6,0.55,0.13,20.0,0.088,11.3,0.997,3.08,0.43,9.6,0
4.9,0.41,0.73,9.5,0.116,1.0,0.9984,3.06,0.62,9.7,0
8.5,0.67,0.75,2.1,0.072,15.1,0.993,3.24,0.83,11.2,1
6.9,0.44,0.61,4.9,0.171,2.5,0.996,3.31,0.72,11.3,0
7.8,0.66,0.18,1.7,0.084,13.1,0.9961,3.29,0.3,10.0,1
5.5,0.49,0.14,1.1,0.104,19.8,0.9983,3.35,0.97,11.6,1
9.9,0.74,0.6,1.1,0.114,9.0,0.9991,3.45,0.67,13.0,1
4.0,0.51,0.51,1.1,0.048,1.0,0.9973,3.55,0.73,9.7,1
9.0,0.45,0.7,4.3,0.071,5.3,1.0007,3.4,0.66,8.3,1
9.2,0.2,0.22,2.0,0.114,29.5,0.9966,3.36,0.57,10.2,0
8.6,0.29,0.24,5.3,0.015,17.9,0.9955,3.25,0.36,10.7,1
10.0,0.66,0.59,6.2,0.107,24.9,1.0,3.09,0.58,10.8,0
6.3,0.3,0.21,1.9,0.021,33.4,0.9964,3.22,0.74,9.4,1
11.6,0.7,0.37,1.9,0.017,37.5,0.9952,3.27,0.63,10.1,0
6.8,0.45,0.42,1.9,0.035,18.1,0.9987,3.03,0.72,10.9,1
9.4,0.53,0.54,2.6,0.109,12.9,0.9953,3.21,0.57,9.3,0
11.4,0.63,0.28,1.0,0.211,9.3,0.9978,3.49,0.62,11.1,0
7.9,0.72,0.69,1.0,0.027,17.0,0.9994,3.3,0.73,9.0,0
7.1,0.27,0.32,4.3,0.09,20.7,0.9967,3.36,0.63,11.2,0
9.6,0.28,0.03,5.1,0.133,23.3,0.9993,3.51,0.59,10.1,0
7.3,0.48,0.05,1.6,0.111,5.2,0.9975,3.33,0.76,12.6,1
6.8,0.75,0.78,3.3,0.055,5.4,0.9936,3.32,0.64,10.0,0
9.5,0.53,0.5,1.6,0.119,13.4,0.9986,3.38,0.51,11.3,0
9.6,0.74,0.39,4.3,0.063,15.9,0.9998,3.73,0.64,10.3,0
8.2,0.23,0.7,2.4,0.08,32.9,0.9977,3.31,0.59,11.6,1
8.4,0.43,0.57,5.3,0.045,1.0,0.9961,3.29,0.5,11.9,0
8.6,0.54,0.15,8.4,0.138,9.5,0.9973,3.39,1.0,10.6,0
8.0,0.34,0.01,3.0,0.101,24.8,0.9957,3.41,0.54,10.4,0
7.8,0.32,0.79,6.8,0.073,5.4,0.9996,3.29,0.7,11.6,0
6.0,0.39,0.5,1.1,0.102,15.7,0.9973,3.32,0.62,11.3,1
7.1,0.46,0.38,2.6,0.091,26.0,0.9975,3.29,0.86,8.5,0
8.3,0.33,0.76,2.8,0.101,22.9,0.9965,3.42,0.88,11.5,1
11.9,0.75,0.3,2.3,0.123,23.1,0.9989,3.02,0.74,12.4,0
6.4,0.57,0.58,1.9,0.102,13.8,0.9949,3.51,0.79,11.7,0
7.5,0.59,0.54,4.2,0.048,17.2,1.0015,3.33,0.38,9.9,0
6.1,0.58,0.54,3.0,0.01,17.6,0.9969,2.98,0.87,8.6,0
4.8,0.81,0.54,1.2,0.123,10.3,0.9972,2.98,0.78,9.4,0
10.7,0.89,0.01,8.5,0.061,24.7,0.9949,3.3,0.54,11.2,0
9.2,0.48,0.66,6.5,0.14,2.2,1.0001,3.01,0.56,8.4,0
10.6,0.63,0.74,2.1,0.018,8.9,0.9977,3.53,0.63,11.8,1
5.1,0.48,0.36,1.7,0.044,24.7,0.9983,3.64,1.02,12.3,1
9.4,0.69,0.45,3.5,0.081,1.0,0.9957,3.1,0.61,10.8,0
11.9,0.78,0.26,1.1,0.092,17.4,0.9995,3.16,0.54,11.5,0
9.9,0.53,0.63,2.7,0.132,27.5,0.9955,3.23,0.54,10.0,0
9.3,0.7,0.59,3.8,0.136,7.9,0.9986,3.31,0.33,10.3,0
7.0,0.47,0.59,2.3,0.085,20.2,0.996,3.34,0.79,10.2,1
10.8,0.74,0.59,10.0,0.122,17.2,0.9944,3.16,0.79,9.9,0
7.2,0.37,0.17,4.2,0.01,22.8,0.9958,3.51,0.3,11.0,1
9.2,0.34,0.09,7.8,0.071,16.0,0.9945,3.42,0.91,11.7,1
6.5,0.64,0.25,7.0,0.125,27.9,0.9966,3.49,0.63,9.6,0
8.1,0.74,0.46,1.4,0.09,19.8,0.9999,3.31,0.55,10.3,0
10.0,0.65,0.32,3.8,0.155,25.0,1.0003,3.52,0.39,10.6,0
9.8,0.72,0.2,3.3,0.043,24.4,1.0017,3.29,0.44,10.1,0
8.3,0.38,0.02,1.1,0.129,30.1,0.9963,3.1,0.73,10.3,0
12.0,0.52,0.1,2.0,0.064,5.7,0.9966,3.48,0.82,9.4,0
7.9,0.25,0.08,2.9,0.11,2.9,0.9973,3.15,0.48,10.4,1
10.2,0.32,0.77,3.0,0.046,26.8,0.9934,3.25,0.34,10.6,0
7.3,0.79,0.62,5.2,0.094,17.6,0.9956,3.18,0.62,10.1,0
6.2,0.46,0.1,3.2,0.128,35.6,0.9955,3.52,0.48,11.0,0
8.0,0.86,0.37,2.6,0.123,1.0,0.995,3.24,0.67,10.2,0
5.4,0.56,0.52,4.5,0.093,15.2,0.996,3.35,0.82,9.3,0
8.8,0.49,0.77,3.1,0.126,15.7,0.9939,3.47,0.49,11.5,1
8.5,0.49,0.22,6.4,0.117,25.3,0.9969,3.21,0.73,11.3,1
9.3,0.71,0.21,6.9,0.073,36.4,0.9935,3.37,0.86,10.8,0
8.3,0.51,0.45,3.3,0.096,16.0,0.9955,3.26,0.69,12.4,1
7.8,0.54,0.69,3.1,0.128,20.3,0.9933,3.34,0.74,8.3,0
8.4,0.59,0.22,4.0,0.175,1.0,0.999,3.31,0.53,9.9,0
10.2,0.29,0.1,4.2,0.113,18.9,1.0007,3.46,0.88,8.9,0
10.0,0.55,0.21,4.2,0.033,19.0,0.9956,3.29,0.74,12.4,1
10.5,0.52,0.36,3.4,0.106,9.9,0.995,3.31,0.49,11.8,1
4.5,0.61,0.29,4.6,0.174,19.0,0.998,3.59,0.96,10.6,1
10.1,0.71,0.69,1.4,0.057,18.5,0.9955,3.1,0.3,10.6,0
9.5,0.49,0.75,5.3,0.025,32.9,0.9943,3.41,0.85,9.2,1
11.8,0.62,0.3,1.9,0.111,7.9,0.9932,3.59,0.45,10.6,0
7.4,0.29,0.66,6.4,0.09,6.6,0.9942,3.29,0.67,9.1,0
7.8,0.89,0.05,1.4,0.091,7.0,0.9991,3.11,0.87,12.3,1
8.8,0.81,0.44,1.0,0.078,11.3,0.9992,3.22,0.43,11.1,0
4.2,0.47,0.67,1.0,0.061,1.0,0.9957,3.27,0.72,11.8,1
4.0,0.55,0.33,1.6,0.054,13.1,0.9976,3.53,0.32,9.2,0
8.8,0.14,0.11,1.3,0.101,16.3,0.9993,3.08,0.61,10.7,0
6.3,0.65,0.23,3.0,0.121,31.6,0.9941,3.37,0.9,9.1,0
6.0,0.4,0.39,2.5,0.07,14.6,0.9972,3.09,0.62,9.6,0
9.2,0.24,0.67,3.3,0.149,29.2,0.9932,3.23,0.82,12.0,1
5.6,0.59,0.6,1.5,0.089,24.6,0.9963,3.49,0.8,10.2,1
9.5,0.37,0.07,4.5,0.123,17.4,0.9983,3.4,0.44,9.9,0
6.8,0.34,0.44,3.4,0.067,14.4,0.9995,3.37,0.41,10.9,0
6.8,0.67,0.7,1.6,0.094,21.5,0.998,3.46,0.77,12.5,1
8.9,0.82,0.46,2.3,0.104,22.6,0.9922,3.31,0.73,11.0,1
6.2,0.58,0.05,4.2,0.082,10.4,0.9945,3.33,0.5,11.3,0
11.2,0.76,0.66,3.9,0.032,22.1,0.9962,3.29,0.61,10.2,1
8.1,0.47,0.73,3.1,0.147,15.0,0.9972,3.38,0.7,10.2,0
8.3,0.64,0.31,10.7,0.081,21.6,0.9971,3.37,0.54,8.0,0
9.4,0.57,0.25,1.4,0.01,33.1,0.9953,3.55,0.82,8.7,0
10.1,0.61,0.43,2.7,0.065,12.1,0.9987,3.08,0.66,12.5,0
7.4,0.36,0.79,3.4,0.162,1.0,0.9968,3.29,0.63,11.0,0
9.5,0.1,0.67,13.8,0.144,15.3,0.9944,3.28,0.59,11.2,1
9.6,0.78,0.65,3.0,0.1,4.6,0.9955,3.51,0.74,10.0,0
10.8,0.48,0.15,2.5,0.127,18.7,1.0021,3.18,0.64,10.5,1
7.5,0.19,0.72,7.4,0.153,5.3,0.9993,3.26,0.34,11.0,0
9.6,0.53,0.44,2.8,0.092,14.7,0.9986,3.32,0.97,11.9,1
9.3,0.6,0.73,8.0,0.137,33.0,0.9973,3.38,0.3,11.7,0
9.0,0.54,0.52,4.5,0.05,35.1,0.9947,3.28,0.9,10.3,0
4.5,0.58,0.67,1.5,0.037,19.7,0.9965,3.23,0.51,11.3,1
10.4,0.55,0.13,1.5,0.088,6.4,0.9954,3.21,0.56,10.5,0
10.1,0.47,0.57,2.0,0.122,25.1,0.9965,3.15,0.98,10.9,1
9.4,0.56,0.21,1.2,0.146,11.0,0.9949,3.17,0.3,11.7,0
7.3,0.5,0.14,3.0,0.082,1.0,0.9978,3.26,0.64,11.3,0
11.1,0.57,0.46,5.9,0.048,36.4,0.9952,3.2,0.88,9.9,0
8.2,0.6,0.48,2.3,0.189,15.8,0.9954,3.61,0.56,11.1,0
9.1,0.63,0.39,3.6,0.078,21.7,0.9976,3.38,0.72,12.6,1
6.4,0.44,0.07,11.0,0.04,12.5,1.0007,3.16,0.85,8.8,0
7.8,0.65,0.2,1.5,0.114,21.5,0.9946,3.38,0.64,10.4,0
8.4,0.61,0.19,2.1,0.246,7.2,0.9953,3.08,0.89,9.3,0
6.8,0.75,0.25,1.1,0.091,14.7,0.9968,3.5,0.65,10.5,0
7.2,0.56,0.5,1.7,0.091,25.5,0.9957,3.24,0.56,11.2,0
9.2,0.71,0.35,4.8,0.123,14.0,0.9923,3.47,0.74,9.7,0
10.1,0.13,0.77,3.7,0.131,7.0,0.9999,3.32,0.85,9.4,0
5.8,0.34,0.01,4.8,0.032,25.6,0.9946,3.35,0.53,12.1,0
12.2,0.73,0.17,2.4,0.157,12.1,0.9973,3.33,0.62,10.9,0
6.8,0.59,0.46,4.3,0.081,11.9,0.9982,2.89,0.46,11.6,0
6.5,0.34,0.7,3.3,0.09,4.0,0.9945,3.39,0.59,11.4,1
10.9,0.56,0.03,2.0,0.034,32.1,0.9973,3.17,0.57,9.4,1
9.5,0.72,0.71,2.3,0.072,27.1,0.998,3.31,0.7,11.5,1
10.0,0.31,0.41,2.9,0.154,13.2,0.9926,3.39,0.35,9.8,1
6.9,0.58,0.63,8.8,0.141,6.8,0.9963,3.52,0.62,9.6,0
9.1,0.92,0.76,7.7,0.109,23.0,0.9975,3.47,0.79,11.5,1
12.6,0.39,0.17,11.8,0.01,20.1,0.9986,3.15,0.74,8.8,0
6.8,0.37,0.47,1.0,0.053,11.6,0.9932,3.11,0.8,9.2,1
9.5,0.1,0.71,4.2,0.107,14.9,0.9969,3.33,0.78,9.9,1
7.0,0.46,0.68,6.6,0.067,22.1,0.9986,3.39,0.79,8.6,0
6.5,0.7,0.42,4.4,0.118,18.3,0.9973,3.42,0.48,10.5,0
7.9,0.44,0.76,2.3,0.125,19.8,0.9982,3.44,0.53,9.8,0
8.2,1.0,0.57,4.2,0.153,18.6,0.9981,3.23,0.8,10.7,0
8.0,1.14,0.42,2.5,0.01,23.6,0.9949,3.33,0.31,12.5,0
8.2,0.85,0.05,4.1,0.07,10.0,0.9986,3.12,0.35,9.1,0
12.0,0.4,0.39,4.8,0.051,17.6,0.9982,3.5,0.61,8.9,1
11.2,0.59,0.34,5.6,0.06,8.3,0.9957,3.49,0.65,9.9,0
8.6,0.42,0.24,4.3,0.083,9.1,0.9966,3.29,0.56,9.5,1
8.5,0.41,0.75,1.4,0.099,35.9,0.9983,3.2,0.34,10.4,1
10.8,0.59,0.74,7.9,0.118,1.0,0.9993,3.15,0.85,12.2,1
9.6,0.34,0.27,1.6,0.051,22.9,0.9963,3.35,0.55,12.4,1
8.8,0.19,0.35,2.1,0.072,44.4,0.9975,3.15,0.41,9.8,0
12.1,0.28,0.6,2.4,0.093,34.4,0.9994,3.41,0.3,9.4,0
6.8,0.58,0.67,4.1,0.09,21.8,0.9957,3.32,0.8,9.4,0
8.3,0.87,0.09,4.0,0.06,36.0,0.9998,3.27,0.64,10.8,0
8.1,0.7,0.39,9.2,0.058,20.1,0.995,3.43,0.51,10.4,0
9.1,0.51,0.73,1.5,0.078,12.8,0.9964,3.04,0.8,10.5,0
6.5,0.67,0.53,2.5,0.018,16.1,0.9982,3.38,0.76,9.8,0
9.1,0.52,0.43,1.6,0.026,25.4,0.9991,3.31,0.68,10.6,1
7.8,0.72,0.57,3.8,0.078,37.7,0.9971,3.28,0.66,12.5,0
10.1,0.67,0.53,1.6,0.091,27.1,0.993,3.42,0.59,11.8,0
7.8,0.1,0.75,6.1,0.142,15.0,0.9963,3.51,0.75,13.0,1
7.3,0.41,0.73,11.1,0.012,9.2,0.9962,3.34,0.35,10.5,0
